timestamp,sog [kn],lat [deg],lon[deg],STATE
2023-07-18T23:25:04,0.0,-7.19615166667,112.704751667,P4
2023-07-18T23:28:01,0.0,-7.196125,112.704745,P4
2023-07-18T23:31:04,0.0,-7.19613833333,112.704695,P4
2023-07-18T23:34:06,0.0,-7.19617833333,112.704735,P4
2023-07-18T23:37:02,0.0,-7.19616333333,112.70479,P4
2023-07-18T23:40:06,0.0,-7.19613166667,112.704748333,P4
2023-07-18T23:43:05,0.0,-7.19614166667,112.70476,P4
2023-07-18T23:46:04,0.0,-7.19615333333,112.704758333,P4
2023-07-18T23:49:04,0.0,-7.19613333333,112.704755,P4
2023-07-18T23:52:06,0.0,-7.19612833333,112.704741667,P4
2023-07-18T23:58:05,0.0,-7.196135,112.704743333,P4
2023-07-19T00:01:04,0.0,-7.19612166667,112.70472,P4
2023-07-19T00:04:06,0.0,-7.19613,112.704741667,P4
2023-07-19T00:07:06,0.0,-7.19612166667,112.704728333,P4
2023-07-19T00:10:07,0.0,-7.19612333333,112.70473,P4
2023-07-19T00:13:04,0.0,-7.19613,112.704745,P4
2023-07-19T00:16:09,0.0,-7.19612833333,112.704728333,P4
2023-07-19T00:19:06,0.0,-7.19612166667,112.704731667,P4
2023-07-19T00:22:01,0.0,-7.19613166667,112.704736667,P4
2023-07-19T00:25:04,0.0,-7.19612666667,112.704741667,P4
2023-07-19T00:28:06,0.0,-7.196115,112.70474,P4
2023-07-19T00:31:04,0.0,-7.19611166667,112.704755,P4
2023-07-19T00:37:05,0.0,-7.19612,112.704735,P4
2023-07-19T00:40:08,0.0,-7.19611333333,112.704751667,P4
2023-07-19T00:43:01,0.0,-7.19611166667,112.704725,P4
2023-07-19T00:46:09,0.0,-7.19611333333,112.704748333,P4
2023-07-19T00:49:07,0.0,-7.19610666667,112.704741667,P4
2023-07-19T00:52:08,0.0,-7.19612166667,112.704756667,P4
2023-07-19T00:55:08,0.0,-7.19611,112.704761667,P4
2023-07-19T00:58:07,0.0,-7.19610166667,112.704761667,P4
2023-07-19T01:01:08,0.0,-7.19609666667,112.704765,P4
2023-07-19T01:07:09,0.0,-7.196095,112.704748333,P4
2023-07-19T01:10:08,0.0,-7.196095,112.704743333,P4
2023-07-19T01:13:09,0.0,-7.19609833333,112.704751667,P4
2023-07-19T01:16:10,0.0,-7.19609666667,112.70476,P4
2023-07-19T01:19:07,0.0,-7.19609,112.704756667,P4
2023-07-19T01:22:08,0.0,-7.19611333333,112.704781667,P4
2023-07-19T01:25:07,0.0,-7.19609333333,112.70479,P4
2023-07-19T01:28:09,0.0,-7.19606833333,112.704785,P4
2023-07-19T01:31:06,0.0,-7.196095,112.704708333,P4
2023-07-19T01:34:10,0.0,-7.19605833333,112.704776667,P4
2023-07-19T01:40:11,0.0,-7.19608666667,112.704753333,P4
2023-07-19T01:43:08,0.0,-7.19608833333,112.704741667,P4
2023-07-19T01:46:09,0.0,-7.196085,112.70476,P4
2023-07-19T01:49:10,0.0,-7.19608666667,112.704761667,P4
2023-07-19T01:52:10,0.0,-7.19608833333,112.704751667,P4
2023-07-19T01:55:11,0.0,-7.19608666667,112.704745,P4
2023-07-19T01:58:10,0.0,-7.19608666667,112.704766667,P4
2023-07-19T02:01:02,0.0,-7.1961,112.704761667,P4
2023-07-19T02:04:01,0.0,-7.1961,112.70472,P4
2023-07-19T02:07:04,0.0,-7.19609333333,112.704733333,P4
2023-07-19T02:10:05,0.0,-7.196085,112.704755,P4
2023-07-19T02:13:06,0.0,-7.19609,112.704753333,P4
2023-07-19T02:16:05,0.0,-7.19608166667,112.704743333,P4
2023-07-19T02:19:05,0.0,-7.19608833333,112.704748333,P4
2023-07-19T02:22:05,0.0,-7.19609833333,112.704751667,P4
2023-07-19T02:25:05,0.0,-7.19608833333,112.704745,P4
2023-07-19T02:28:04,0.0,-7.19609,112.70474,P4
2023-07-19T02:31:04,0.0,-7.19609166667,112.704743333,P4
2023-07-19T02:34:04,0.0,-7.19607333333,112.704741667,P4
